Function,CPU Time: Total,CPU Time: Self,Module,Function (Full),Source File,Start Address
facebook::velox::memory::MallocAllocator::freeContiguous,0.00801504,0,libBOSSVeloxEngine.so,facebook::velox::memory::MallocAllocator::freeContiguous(facebook::velox::memory::ContiguousAllocation&),MallocAllocator.cpp,0x45be1e0
facebook::velox::memory::MallocAllocator::freeBytes,0.012004,0.012004,libBOSSVeloxEngine.so,"facebook::velox::memory::MallocAllocator::freeBytes(void*, unsigned long)",MallocAllocator.cpp,0x45bf170
facebook::velox::memory::MallocAllocator::allocateBytesWithoutRetry,0.0439608,0.0439608,libBOSSVeloxEngine.so,"facebook::velox::memory::MallocAllocator::allocateBytesWithoutRetry(unsigned long, unsigned short)",MallocAllocator.cpp,0x45be8d0
facebook::velox::memory::ContiguousAllocation::~ContiguousAllocation,0.00801504,0,libBOSSVeloxEngine.so,facebook::velox::memory::ContiguousAllocation::~ContiguousAllocation(void),Allocation.cpp,0x4593bd0
facebook::velox::memory::AllocationPool::clear,0.00801504,0,libBOSSVeloxEngine.so,facebook::velox::memory::AllocationPool::clear(void),AllocationPool.cpp,0x4594780
facebook::velox::memory::AllocationPool::allocateFixed,0.01,0.01,libBOSSVeloxEngine.so,"facebook::velox::memory::AllocationPool::allocateFixed(unsigned long, int)",AllocationPool.cpp,0x4594800
facebook::velox::isLazyNotLoaded,0.0080004,0.0080004,libBOSSVeloxEngine.so,facebook::velox::isLazyNotLoaded(facebook::velox::BaseVector const&),BaseVector.cpp,0x45056b0
facebook::velox::getTypeFactories,0.0119967,0.0119967,libBOSSVeloxEngine.so,"facebook::velox::getTypeFactories(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)",Type.cpp,0x45f9ad0
facebook::velox::getThreadLocalRunTimeStatWriter,0.00800514,0,libBOSSVeloxEngine.so,facebook::velox::getThreadLocalRunTimeStatWriter(void),RuntimeMetrics.cpp,0x4633b10
facebook::velox::getCustomTypeCastOperator,0.0119967,0,libBOSSVeloxEngine.so,"facebook::velox::getCustomTypeCastOperator(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)",Type.cpp,0x45f9c90
facebook::velox::functions::registerArrayFunctions,0.00800785,0,libBOSSVeloxEngine.so,"facebook::velox::functions::registerArrayFunctions(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)",ArrayFunctionsRegistration.cpp,0x29f4d60
facebook::velox::functions::registerArrayFrequencyFunctions<double>,0.00800785,0,libBOSSVeloxEngine.so,"facebook::velox::functions::registerArrayFrequencyFunctions<double>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)",ArrayFunctionsRegistration.cpp,0x2a034d0
facebook::velox::functions::prestosql::registerAllScalarFunctions,0.00800785,0,libBOSSVeloxEngine.so,"facebook::velox::functions::prestosql::registerAllScalarFunctions(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)",RegistrationFunctions.cpp,0x27e4f00
